popularity,duration_ms_x,like,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature
14.0,242024.0,0.0,0.7879999999999999,0.848,1.0,-5.757999999999999,1.0,0.068,0.141,1.3000000000000001e-05,0.23600000000000002,0.7859999999999999,101.03399999999999,242024.0,4.0
17.0,228880.0,0.0,0.795,0.856,8.0,-4.849,1.0,0.0531,0.022000000000000002,0.0195,0.0385,0.961,123.083,228880.0,4.0
43.0,198058.0,0.0,0.6970000000000001,0.841,2.0,-6.782,1.0,0.271,0.22399999999999998,0.0,0.336,0.7979999999999999,103.07,198058.0,4.0
33.0,299826.0,0.0,0.701,0.885,0.0,-1.203,0.0,0.12,0.0501,0.0,0.0429,0.6409999999999999,124.98899999999999,299827.0,4.0
34.0,182200.0,0.0,0.8079999999999999,0.495,0.0,-7.807,1.0,0.0354,0.10800000000000001,0.000135,0.555,0.746,97.00299999999999,182201.0,4.0
28.0,260000.0,0.0,0.7070000000000001,0.8909999999999999,7.0,-3.795,1.0,0.0553,0.114,0.000334,0.225,0.897,90.015,260000.0,3.0
32.0,222693.0,0.0,0.7120000000000001,0.77,7.0,-3.86,1.0,0.174,0.0319,0.0,0.10300000000000001,0.7290000000000001,109.751,222693.0,4.0
8.0,215237.0,0.0,0.8640000000000001,0.7879999999999999,1.0,-4.835,1.0,0.158,0.10099999999999999,2.77e-06,0.0664,0.898,125.944,215238.0,4.0
34.0,292333.0,0.0,0.715,0.741,6.0,-5.787000000000001,0.0,0.0603,0.613,0.0,0.172,0.87,100.021,292333.0,4.0
12.0,264960.0,0.0,0.772,0.831,10.0,-5.207999999999999,0.0,0.0499,0.00462,0.000106,0.0213,0.96,125.02600000000001,264960.0,4.0
47.0,218866.0,0.0,0.639,0.49700000000000005,9.0,-11.174000000000001,1.0,0.10099999999999999,0.601,5.86e-06,0.102,0.884,203.87,218867.0,4.0
23.0,211987.0,0.0,0.804,0.9159999999999999,7.0,-3.1,1.0,0.0798,0.0521,0.0,0.151,0.956,120.039,211988.0,4.0
28.0,283219.0,0.0,0.747,0.78,9.0,-10.149,0.0,0.0398,0.23,0.0,0.11,0.9209999999999999,109.991,283220.0,4.0
21.0,194653.0,0.0,0.815,0.9620000000000001,8.0,-0.13,1.0,0.278,0.218,0.0,0.0742,0.9640000000000001,124.08200000000001,194653.0,4.0
15.0,238320.0,0.0,0.715,0.725,5.0,-4.124,0.0,0.0396,0.25,0.0,0.32,0.9590000000000001,102.963,238320.0,4.0
6.0,232045.0,0.0,0.835,0.8009999999999999,0.0,-7.063,1.0,0.106,0.0625,0.0,0.0975,0.924,126.572,232046.0,4.0
34.0,241640.0,0.0,0.821,0.574,0.0,-8.941,1.0,0.0539,0.7509999999999999,0.0102,0.141,0.89,111.98899999999999,241640.0,4.0
23.0,274066.0,0.0,0.63,0.449,3.0,-8.391,0.0,0.20199999999999999,0.6829999999999999,0.0,0.018000000000000002,0.38299999999999995,88.212,274067.0,4.0
22.0,305226.0,0.0,0.622,0.882,5.0,-3.423,1.0,0.0913,0.524,6.42e-05,0.0778,0.797,125.816,305227.0,4.0
6.0,205011.0,0.0,0.502,0.9540000000000001,9.0,-3.705,1.0,0.264,0.0726,0.0,0.331,0.905,94.639,205012.0,3.0
11.0,236013.0,0.0,0.59,0.904,5.0,-3.373,1.0,0.033,0.547,2.8999999999999997e-05,0.179,0.953,125.065,236013.0,4.0
42.0,249693.0,0.0,0.753,0.8490000000000001,0.0,-5.539,1.0,0.0862,0.0895,1.0199999999999999e-05,0.0765,0.382,124.962,249693.0,4.0
28.0,300400.0,0.0,0.69,0.621,8.0,-7.309,1.0,0.374,0.519,0.0,0.085,0.8759999999999999,92.02799999999999,300400.0,4.0
17.0,251240.0,0.0,0.642,0.892,5.0,-3.92,0.0,0.19699999999999998,0.158,0.0,0.115,0.8320000000000001,110.041,251240.0,4.0
2.0,209893.0,0.0,0.7909999999999999,0.877,2.0,-3.9,1.0,0.11699999999999999,0.17,0.0,0.239,0.955,125.022,209894.0,4.0
39.0,185469.0,0.0,0.825,0.787,11.0,-4.255,1.0,0.272,0.146,0.0,0.0824,0.787,111.902,185469.0,4.0
25.0,243000.0,0.0,0.6859999999999999,0.861,2.0,-5.872000000000001,1.0,0.129,0.13,0.0,0.11699999999999999,0.262,113.23,243000.0,5.0
69.0,201960.0,0.0,0.772,0.7829999999999999,8.0,-6.257000000000001,0.0,0.0353,0.336,0.0,0.163,0.6940000000000001,103.079,201960.0,4.0
39.0,233453.0,0.0,0.725,0.752,1.0,-4.988,0.0,0.0532,0.242,0.0,0.312,0.606,104.04799999999999,233453.0,4.0
